Country Name,Country Code,2020_gdp_per_capita
Aruba,ABW,22855.93232
Africa Eastern and Southern,AFE,1344.080962
Afghanistan,AFG,510.7870634
Africa Western and Central,AFW,1664.249176
Angola,AGO,1449.922867
Albania,ALB,5370.778623
Andorra,AND,37361.09007
Arab World,ARB,5648.341118
United Arab Emirates,ARE,37173.87541
Argentina,ARG,8535.59938
Armenia,ARM,4268.680933
American Samoa,ASM,14489.25866
Antigua and Barbuda,ATG,15360.45442
Australia,AUS,51791.54018
Austria,AUT,48716.40989
Azerbaijan,AZE,4229.910649
Burundi,BDI,210.0081399
Belgium,BEL,45906.28758
Benin,BEN,1197.501364
Burkina Faso,BFA,825.2370388
Bangladesh,BGD,2248.850788
Bulgaria,BGR,10198.53883
Bahrain,BHR,24342.84446
"Bahamas, The",BHS,25155.67254
Bosnia and Herzegovina,BIH,6130.311332
Belarus,BLR,6542.86454
Belize,BLZ,5227.193638
Bermuda,BMU,106973.1757
Bolivia,BOL,3099.94219
Brazil,BRA,7074.193783
Barbados,BRB,18347.11091
Brunei Darussalam,BRN,26834.35925
Bhutan,BTN,3191.66907
Botswana,BWA,6323.314192
Central African Republic,CAF,462.8790713
Canada,CAN,43537.8393
Central Europe and the Baltics,CEB,16450.87751
Switzerland,CHE,85897.78433
Channel Islands,CHI,56785.94024
Chile,CHL,13114.81547
China,CHN,10408.71955
Cote d'Ivoire,CIV,2179.729348
Cameroon,CMR,1555.603707
"Congo, Dem. Rep.",COD,507.5212301
"Congo, Rep.",COG,1993.586672
Colombia,COL,5339.687114
Comoros,COM,1527.16991
Cabo Verde,CPV,3539.22662
Costa Rica,CRI,12394.0494
Caribbean small states,CSS,10270.79047
Cuba,CUB,9605.261251
Curacao,CUW,16356.09336
Cayman Islands,CYM,82338.79829
Cyprus,CYP,28649.01563
Czechia,CZE,23472.89155
Germany,DEU,47379.76519
Djibouti,DJI,2881.999245
Dominica,DMA,7461.779332
Denmark,DNK,60985.48856
Dominican Republic,DOM,7162.291752
Algeria,DZA,3743.541952
East Asia & Pacific (excluding high income),EAP,8245.715216
Early-demographic dividend,EAR,3240.951502
East Asia & Pacific,EAS,11464.10129
Europe & Central Asia (excluding high income),ECA,5733.538812
Europe & Central Asia,ECS,24091.34169
Ecuador,ECU,5463.645096
"Egypt, Arab Rep.",EGY,3511.11381
Euro area,EMU,38241.57565
Eritrea,ERI,
Spain,ESP,27230.35999
Estonia,EST,23933.99394
Ethiopia,ETH,905.3131758
European Union,EUU,34635.48959
Fragile and conflict affected situations,FCS,1680.968847
Finland,FIN,48828.68469
Fiji,FJI,4844.42129
France,FRA,39169.8606
Faroe Islands,FRO,62236.08666
"Micronesia, Fed. Sts.",FSM,3353.88943
Gabon,GAB,6605.803461
United Kingdom,GBR,40201.68124
Georgia,GEO,4300.857013
Ghana,GHA,2196.547893
Gibraltar,GIB,
Guinea,GIN,1053.660977
"Gambia, The",GMB,720.3351434
Guinea-Bissau,GNB,817.7803357
Equatorial Guinea,GNQ,5764.055029
Greece,GRC,17886.73317
Grenada,GRD,8968.558901
Greenland,GRL,54693.07668
Guatemala,GTM,4477.617618
Guam,GUM,36482.9364
Guyana,GUY,6775.709391
High income,HIC,40262.86988
"Hong Kong SAR, China",HKG,46109.22999
Honduras,HND,2307.614943
Heavily indebted poor countries (HIPC),HPC,959.1817376
Croatia,HRV,14808.46202
Haiti,HTI,1290.325387
Hungary,HUN,16131.95404
